bowler_pkey,Smart_wicket,Actual_wicket,no_innings_bowled,smart_runs_conceded,Actual_runs_conceded,balls,no_balls,smart_bowl_average,economy_rate,bowl_average_nominal,economy_rate_nominal
99.0,15.306154169468659,11,19,305.7334762290722,309.0,256,2,19.97454571827859,1.2036751032640638,28.09090909090909,1.2165354330708662
59.0,47.73855813466125,43,31,786.2936679708831,828.0,721,2,16.4708298426798,1.0935934185964995,19.25581395348837,1.1515994436717663
63.0,231.48161310569463,187,134,2865.8236356935786,3294.0,3124,1,12.380351066523119,0.9176508599723274,17.614973262032084,1.0547550432276658
67.0,21.47004214480331,17,22,632.3799042634472,531.0,361,3,29.454059754443048,1.7664243135850481,31.235294117647058,1.4832402234636872
178.0,167.04136876606827,131,91,2308.5753100910065,2520.0,2127,17,13.820380706554387,1.0941115213701453,19.236641221374047,1.1943127962085307
176.0,25.462051362907985,20,21,703.2832922146264,612.0,423,9,27.620841784929357,1.6987519135618996,30.6,1.4782608695652173
234.0,14.41891487093938,10,10,403.67080435005084,354.0,230,1,27.995921188468188,1.7627546041486937,35.4,1.5458515283842795
161.0,36.9950603918023,29,34,886.6594116286219,838.0,587,5,23.966967542107216,1.5234697794306218,28.896551724137932,1.4398625429553265
196.0,78.92050980017295,58,51,1327.0761887948015,1275.0,1024,1,16.815352462306233,1.2972396762412528,21.982758620689655,1.2463343108504399
131.0,25.05891518009478,20,28,563.9416219969879,578.0,484,2,22.504630305981784,1.1700033651389792,28.9,1.1991701244813278
572.0,4.608450861407086,4,6,178.64705950065667,172.0,120,0,38.765100219840654,1.4887254958388056,43.0,1.4333333333333333
13.0,61.09097427914328,51,46,1188.36449302134,1157.0,916,1,19.452374218020168,1.2987590087664918,22.686274509803923,1.2644808743169398
510.0,32.214327876943756,26,31,726.807746347683,728.0,694,0,22.561630002774926,1.0472734097228862,28.0,1.0489913544668588
989.0,52.16407625541366,50,32,1023.8245028046252,957.0,659,2,19.627003414986596,1.5583325765671616,19.14,1.45662100456621
1201.0,28.352405377941988,21,23,612.0949802256598,574.0,403,1,21.58882013946747,1.5226243289195518,27.333333333333332,1.427860696517413
1257.0,15.920586319454248,13,11,283.51191107517263,267.0,217,1,17.80788127939319,1.31255514386654,20.53846153846154,1.2361111111111112
805.0,48.47908473887556,38,33,960.7803388620359,865.0,579,3,19.818450452130392,1.668021421635479,22.763157894736842,1.5017361111111112
1213.0,52.599122335819914,43,40,955.3849526492343,982.0,800,1,18.163515097258927,1.195725848121695,22.837209302325583,1.2290362953692116
1210.0,38.477672047088845,34,22,588.8445128182628,607.0,484,2,15.303537908884843,1.2216691137308358,17.852941176470587,1.2593360995850622
1212.0,12.782289316471768,10,13,331.95813486654004,301.0,207,0,25.97016282824748,1.6036624872779712,30.1,1.4541062801932367
329.0,18.239291794795275,15,14,523.3245598689724,467.0,290,2,28.69215349788456,1.8170991662117097,31.133333333333333,1.6215277777777777
1202.0,14.074829289540837,13,22,410.1376534574391,399.0,294,0,29.139795944965172,1.3950260321681602,30.692307692307693,1.3571428571428572
