batsman_pkey,smart_runs,runs,dismissals,balls,no_innings,average_nominal,strike_rate_nominal,R_0_nominal,R_nominal,SA,SSR,R_0,R
86.0,126.6319792958934,110.0,3,85,5,36.666666666666664,129.41176470588235,0.32352941176470584,0.5176470588235293,29.393048750086233,193.34426048836568,0.9522500289530288,0.554224598972234
84.0,2703.9443439294373,2486.0,84,1789,93,29.595238095238095,138.96031302403577,0.34740078256008944,0.5558412520961431,32.18981361820759,151.1427805438478,0.8118680557282898,0.4628999598287227
61.0,1105.7455346038691,1077.0,46,852,47,23.41304347826087,126.40845070422536,0.3160211267605634,0.5056338028169014,24.03794640443194,129.78233974223818,0.5968501384744047,0.323021361091802
60.0,1238.2317480213096,1172.0,43,840,46,27.25581395348837,139.52380952380952,0.3488095238095238,0.5580952380952381,28.79608716328627,147.4085414311083,0.7446565117667259,0.4191758985581095
97.0,1267.8178341060798,1206.0,40,833,58,30.15,144.7779111644658,0.3619447779111645,0.5791116446578631,31.695445852651993,152.19901970060982,0.8089960590214111,0.46103159983311875
79.0,958.8443830715721,936.0,27,751,37,34.666666666666664,124.63382157123834,0.31158455392809586,0.49853528628495336,35.51275492857675,127.675683498212,0.7604048515050439,0.42942088522323396
90.0,2594.2733525700214,2294.0,70,1267,95,32.77142857142857,181.05761641673243,0.4526440410418311,0.7242304656669297,37.06104789385745,204.75717068429532,1.116977257808442,0.6613868961444473
92.0,60.8625810354781,80.0,10,80,12,8.0,100.0,0.25,0.4,6.856091814992242,127.21263458645757,0.32720157989717885,0.14760313080229204
64.0,41.818789569503124,57.0,4,73,10,14.25,78.08219178082192,0.1952054794520548,0.31232876712328766,10.467073240936875,116.46852261756025,0.3350825633536846,0.1527300566726753
115.0,959.201232713338,825.0,39,593,39,21.153846153846153,139.12310286677908,0.3478077571669477,0.5564924114671163,24.5949034029061,161.75400214390186,0.7434657111403871,0.4184012304508436
110.0,2994.4952252602397,2695.0,74,1972,83,36.41891891891892,136.6632860040568,0.341658215010142,0.5466531440162272,40.46615169270594,151.85067065214196,0.9394640668187577,0.5459067690458403
142.0,1868.463119974731,1853.0,57,1475,67,32.50877192982456,125.62711864406779,0.3140677966101695,0.5025084745762711,32.78005473639879,126.6754657609987,0.7149608804284746,0.39985758614371597
136.0,2018.8939143441935,1850.0,55,1259,64,33.63636363636363,146.94201747418586,0.3673550436854647,0.5877680698967435,36.707162078985334,160.35694315680647,0.9196802994821214,0.5330365594924737
124.0,2839.2328677191335,2529.0,80,1753,102,31.6125,144.26697090701654,0.36066742726754136,0.5770678836280662,35.49041084648917,161.96422519789695,0.9083210163106648,0.5256468468909741
114.0,-2.0674355199188508,4.0,2,8,2,2.0,50.0,0.125,0.2,17.39669388601256,126.70836643514461,0.4836273445168302,0.24936496088974655
161.0,1066.5983830636624,1051.0,39,762,42,26.94871794871795,137.9265091863517,0.34481627296587924,0.5517060367454067,27.348676488811854,139.97354108447013,0.6907306048497712,0.38409472768873193
165.0,1404.5609380817064,1314.0,44,894,48,29.863636363636363,146.9798657718121,0.3674496644295302,0.5879194630872483,31.92183950185696,157.10972461764055,0.8336349122817333,0.47706025601468255
188.0,2386.66187219381,2176.0,56,1493,62,38.857142857142854,145.74681848626926,0.3643670462156732,0.5829872739450771,42.61896200346089,159.8567898321373,1.0064735601789543,0.5894993875262239
170.0,1484.207984448668,1466.0,47,1150,54,31.19148936170213,127.47826086956522,0.31869565217391305,0.5099130434782608,31.57889328614187,129.06156386510156,0.7072035236668976,0.39481108486805466
151.0,338.4769518385323,322.0,11,269,15,29.272727272727273,119.70260223048327,0.29925650557620814,0.47881040892193305,30.770631985321117,125.82786313700083,0.6810600333888497,0.3778035962229679
131.0,434.40640458635824,445.0,12,320,24,37.083333333333336,139.0625,0.34765625,0.55625,36.20053371552985,135.75200143323696,0.805673307402526,0.4588700039701484
178.0,420.00389642280834,427.0,23,284,44,18.565217391304348,150.35211267605635,0.37588028169014087,0.6014084507042254,18.26103897490471,147.88869592352407,0.5882100577379781,0.3174006091013612
72.0,2548.602793155589,2327.0,56,1738,69,41.55357142857143,133.88952819332567,0.33472382048331417,0.5355581127733027,45.51076416349266,146.63997659123066,0.9928417958030706,0.58063132609412
62.0,1649.1768486073174,1630.0,41,1258,62,39.75609756097561,129.57074721780603,0.3239268680445151,0.5182829888712241,40.22382557578823,131.09513899899184,0.8460776545272641,0.4851548063292708
54.0,1550.4727004428487,1393.0,38,941,41,36.6578947368421,148.03400637619555,0.37008501594048887,0.5921360255047822,40.80191316954865,164.76861853802856,1.0003692802124573,0.5855282853087131
99.0,692.5117090898227,692.0,25,526,35,27.68,131.55893536121673,0.3288973384030418,0.5262357414448668,27.700468363592908,131.65621845814118,0.6600627029339496,0.36414391056161205
1202.0,438.0581205827137,444.0,21,376,23,21.142857142857142,118.08510638297872,0.29521276595744683,0.4723404255319149,20.859910503938746,116.50481930391321,0.491622112878775,0.25456590883853847
1209.0,895.4871611601179,874.0,26,752,28,33.61538461538461,116.22340425531915,0.2905585106382979,0.46489361702127663,34.441813890773766,119.08073951597314,0.7071285260197787,0.3947622956047155
